spec	Fold_0
nist_1056446	train
nist_1057022	train
nist_1057030	train
nist_1057038	train
nist_1057046	train
nist_1058536	train
nist_1058740	train
nist_1059715	train
nist_1059963	train
nist_1060321	train
nist_1060379	train
nist_1060556	train
nist_1060619	train
nist_1060635	train
nist_1061251	train
nist_1061892	train
nist_1062444	train
nist_1062753	train
nist_1063480	train
nist_1064715	train
nist_1065622	train
nist_1066407	train
nist_1066455	train
nist_1066607	train
nist_1067022	train
nist_1067465	train
nist_1068959	train
nist_1069246	train
nist_1070656	train
nist_1071625	train
nist_1072564	train
nist_1072580	train
nist_1072679	train
nist_1072828	train
nist_1072907	train
nist_1073237	train
nist_1074267	train
nist_1074304	train
nist_1074693	train
nist_1074863	train
nist_1074978	train
nist_1075313	train
nist_1075391	train
nist_1075407	train
nist_1075574	train
nist_1075621	train
nist_1075653	train
nist_1076574	train
nist_1090318	train
nist_1091402	train
nist_1091411	train
nist_1091424	train
nist_1091493	train
nist_1091499	train
nist_1091514	train
nist_1091517	train
nist_1091522	train
nist_1091543	train
nist_1091635	train
nist_1091641	train
nist_1091864	train
nist_1091870	train
nist_1091881	train
nist_1091920	train
nist_1091925	train
nist_1091978	train
nist_1091983	train
nist_1091988	train
nist_1091997	train
nist_1092002	train
nist_1092009	train
nist_1092017	train
nist_1092023	train
nist_1092028	train
nist_1092036	train
nist_1092058	train
nist_1092063	train
nist_1092081	train
nist_1092086	train
nist_1092109	train
nist_1092119	train
nist_1092173	train
nist_1092179	train
nist_1092184	train
nist_1092199	train
nist_1092221	train
nist_1092231	train
nist_1092351	train
nist_1092378	train
nist_1092383	train
nist_1092392	train
nist_1092408	train
nist_1092471	train
nist_1092587	train
nist_1092623	train
nist_1092807	train
nist_1092812	train
nist_1092817	train
nist_1092895	train
nist_1092900	train
nist_1092914	train
nist_1092924	train
nist_1092928	train
nist_1092945	train
nist_1093053	train
nist_1093064	train
nist_1093181	train
nist_1093191	train
nist_1093216	train
nist_1093225	train
nist_1093390	train
nist_1093398	train
nist_1093501	train
nist_1093509	train
nist_1093537	train
nist_1093542	train
nist_1093691	train
nist_1093700	train
nist_1093817	train
nist_1093826	train
nist_1093854	train
nist_1093863	train
nist_1094029	train
nist_1094034	train
nist_1094082	train
nist_1094087	train
nist_1094095	train
nist_1094105	train
nist_1094114	train
nist_1094122	train
nist_1094130	train
nist_1094136	train
nist_1094141	train
nist_1094149	train
nist_1094175	train
nist_1094183	train
nist_1094204	train
nist_1094209	train
nist_1094233	train
nist_1094243	train
nist_1094299	train
nist_1094301	train
nist_1094309	train
nist_1094337	train
nist_1094464	train
nist_1094562	train
nist_1094568	train
nist_1094616	train
nist_1094621	train
nist_1094626	train
nist_1094632	train
nist_1094637	train
nist_1094648	train
nist_1094656	train
nist_1094662	train
nist_1094672	train
nist_1094683	train
nist_1094705	train
nist_1094710	train
nist_1094728	train
nist_1094738	train
nist_1094758	train
nist_1094767	train
nist_1094804	train
nist_1094810	train
nist_1094815	train
nist_1094846	train
nist_1094855	train
nist_1094972	train
nist_1094982	train
nist_1095007	train
nist_1095015	train
nist_1095159	train
nist_1095170	train
nist_1095195	train
nist_1095219	train
nist_1095417	train
nist_1095427	train
nist_1095475	train
nist_1095481	train
nist_1095562	train
nist_1095700	train
nist_1095709	train
nist_1095841	train
nist_1095849	train
nist_1096055	train
nist_1096060	train
nist_1096068	train
nist_1096078	train
nist_1096137	train
nist_1096311	train
nist_1096326	train
nist_1096341	train
nist_1096366	train
nist_1096572	train
nist_1096621	train
nist_1096736	train
nist_1096885	train
nist_1096894	train
nist_1097009	train
nist_1097018	train
nist_1097046	train
nist_1097055	train
nist_1097829	train
nist_1097908	train
nist_1098008	train
nist_1098023	train
nist_1098116	train
nist_1098131	train
nist_1098164	train
nist_1102071	train
nist_1102088	train
nist_1102220	train
nist_1102232	train
nist_1102271	train
nist_1102283	train
nist_1102400	train
nist_1102408	train
nist_1102452	train
nist_1105334	train
nist_1105890	train
nist_1105906	train
nist_1106018	train
nist_1106132	train
nist_1106683	train
nist_1106964	train
nist_1107066	train
nist_1107131	train
nist_1107154	train
nist_1107163	train
nist_1107194	train
nist_1107551	train
nist_1107638	train
nist_1107730	train
nist_1108408	train
nist_1108459	train
nist_1108580	train
nist_1108610	train
nist_1109078	train
nist_1109109	train
nist_1109183	train
nist_1109231	train
nist_1109362	train
nist_1109410	train
nist_1109899	train
nist_1109944	train
nist_1110372	train
nist_1110387	train
nist_1111911	train
nist_1112371	train
nist_1112429	train
nist_1113511	train
nist_1113590	train
nist_1114300	train
nist_1114316	train
nist_1114338	train
nist_1114370	train
nist_1114382	train
nist_1114421	train
nist_1114467	train
nist_1114830	train
nist_1115080	train
nist_1115096	train
nist_1115249	train
nist_1115281	train
nist_1115416	train
nist_1115643	train
nist_1115658	train
nist_1115799	train
nist_1115870	train
nist_1115879	train
nist_1116058	train
nist_1116074	train
nist_1116212	train
